AdaBoostRegressor: MAE=307863.61, MSE=126805480455.46, RMSE=356097.57, R2=0.99
BaggingRegressor: MAE=3391.00, MSE=18044625.90, RMSE=4247.90, R2=1.00
DecisionTreeRegressor: MAE=4500.97, MSE=32347147.23, RMSE=5687.46, R2=1.00
GradientBoostingRegressor: MAE=15284.24, MSE=406852566.75, RMSE=20170.59, R2=1.00
Lasso: MAE=1509.85, MSE=3695242.51, RMSE=1922.30, R2=1.00
LinearRegression: MAE=1510.03, MSE=3695708.44, RMSE=1922.42, R2=1.00
Ridge: MAE=1770.42, MSE=4864539.44, RMSE=2205.57, R2=1.00
SVR: MAE=2576667.58, MSE=8773073191570.56, RMSE=2961937.41, R2=-0.00
XGBRegressor: MAE=7966.75, MSE=105669319.20, RMSE=10279.56, R2=1.00

Best Model:
Lasso has the highest R2=1.00
