AdaBoostRegressor: MAE=310922.40, MSE=130026944858.53, RMSE=360592.49, R2=0.99
BaggingRegressor: MAE=3364.92, MSE=18106093.17, RMSE=4255.13, R2=1.00
DecisionTreeRegressor: MAE=4490.93, MSE=32308636.33, RMSE=5684.07, R2=1.00
GradientBoostingRegressor: MAE=15282.12, MSE=406791854.51, RMSE=20169.08, R2=1.00
Lasso: MAE=1509.85, MSE=3695242.51, RMSE=1922.30, R2=1.00
LinearRegression: MAE=1510.03, MSE=3695708.44, RMSE=1922.42, R2=1.00
Ridge: MAE=1770.42, MSE=4864539.44, RMSE=2205.57, R2=1.00
SVR: MAE=2576667.58, MSE=8773073191570.56, RMSE=2961937.41, R2=-0.00
XGBRegressor: MAE=7966.75, MSE=105669319.20, RMSE=10279.56, R2=1.00

Best Model:
Lasso has the highest R2=1.00
